MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT
Pratima Aur Paayal_1977,1977,2,3.0,7,7.0
Aangan Ki Kali_1979,1979,2.0,4.0,6.0,8.0
Wafadaar_1985,1985,2,3.0,3,5.0
Toonpur Ka Super Hero_2010,2010,10,1.0,14,2.0
Force 2_2016,2016,3,2.0,3,2.0
Mr. Natwarlal_1979,1979,3.0,4.0,3.0,4.0
Zameer (1975 film)_1975,1975,2,1.0,7,1.0
Bal Bramhachari_1996,1996,4.0,4,4.0,4
Do Aankhen_1974,1974,1,1.0,5,2.0
Phillauri (film)_2017,2017,3,2.0,5,3.0
Deedar (1992 film)_1992,1992,1,1.0,6,4.0
1920 London_2016,2016,5,1.0,5,3.0
Zulm Ki Hukumat_1992,1992,1,4.0,1,6.0
Sun Sajna_1982,1982,4,2.0,5,5.0
Suryavanshi (film)_1992,1992,2,3.0,3,6.0
Airlift (film)_2016,2016,4,0.0,9,0.0
Love and God_1986,1986,6,2.0,18,6.0
Krodhi_1981,1981,2.0,2,2.0,4
Mast Kalandar_1991,1991,1.0,1,1.0,3
Dharm Aur Qanoon_1984,1984,2,3.0,5,5.0
Zindagi 50-50_2013,2013,3,0.0,4,0.0
Aakhri Daao_1975,1975,2,2.0,3,2.0
Ek Baar Kaho_1980,1980,3,1.0,4,2.0
M3 - Midsummer Midnight Mumbai_2014,2014,1.0,0.0,1.0,0.0
Sholay_1975,1975,3,2.0,4,3.0
Hamara Dil Aapke Paas Hai_2000,2000,4,3.0,7,7.0
Wanted: Dead or Alive (1984 Hindi film)_1984,1984,2.0,1,2.0,3
Bhanwar_1976,1976,2,3.0,6,4.0
Aag Aur Shola_1986,1986,0.0,4.0,0.0,4.0
Pyaar Karke Dekho_1987,1987,4,3.0,6,9.0
Khoon Ka Karz_1991,1991,1.0,2,1.0,5
Jalte Badan_1973,1973,1,2.0,2,8.0
Mahaguru_1985,1985,1.0,2,1.0,5
Eena Meena Deeka_1994,1994,5,2.0,9,2.0
Chingari (1989 film)_1989,1989,2.0,2,5.0,7
Shola Aur Shabnam (1992 film)_1992,1992,2,0.0,6,0.0
Ankush_1986,1986,0.0,1,0.0,2
Yeh Dillagi (1994 film)_1994,1994,5.0,1,8.0,5
Haqeeqat (1995 film)_1995,1995,4.0,1,8.0,6
Aarop_1973,1973,3,3.0,5,4.0
Ram Balram_1980,1980,2,2.0,6,4.0
Dastaan (1972 film)_1972,1972,2,1.0,4,3.0
Lalkaar_1972,1972,2,3.0,5,4.0
Sheshnaag (film)_1990,1990,1,2.0,3,5.0
Phir Teri Kahani Yaad Aayee_1993,1993,3,2.0,6,5.0
Be-Reham_1980,1980,3.0,4,3.0,6
Jadu Tona_1977,1977,4,3.0,7,7.0
Coffee with D_2017,2017,2,1.0,3,1.0
Zamana Deewana_1995,1995,3.0,1.0,5.0,6.0
Tell Me O Kkhuda_2011,2011,1,0.0,5,0.0
Beta Ho To Aisa_1994,1994,0.0,2.0,0.0,3.0
Shikari: The Hunter_1991,1991,4,3.0,5,9.0
