MOVIE NAME, CAST, MENTIONS, TOTAL CENTRALITY, COUNT, AVERAGE CENTRALITY
Elaan,mr.,0,0.0,0,0.0
Elaan,naresh,15,739.3333333333334,169,4.374753451676529
Guddi,navin,7,1276.3333333333333,58,22.00574712643678
Qatl,fakir,1,36.0,12,3.0
Qatl,judge,2,115.0,34,3.3823529411764706
Qatl,man,1,84.0,12,7.0
Qatl,rakesh,35,1766.6999999999996,376,4.698670212765957
Qatl,shatru,3,207.66666666666669,39,5.324786324786325
Haathi Mere Saathi,ramu,8,451.0,68,6.632352941176471
Haathi Mere Saathi,kumar,1,76.16666666666667,11,6.924242424242425
Haathi Mere Saathi,raju,7,395.6666666666667,63,6.280423280423281
Suhaagan,jagat,3,0.0,35,0.0
Suhaagan,murali,10,490.0,72,6.805555555555555
Suhaagan,ram,5,0.0,63,0.0
Hare Rama Hare Krishna,michael,4,45.0,58,0.7758620689655172
Hare Rama Hare Krishna,drona,8,574.5,119,4.8277310924369745
Hare Rama Hare Krishna,prashant,31,1064.5,289,3.6833910034602075
Hare Rama Hare Krishna,father,4,199.66666666666669,60,3.327777777777778
Shart,vikram,0,0.0,15,0.0
Shart,inspector,0,0.0,22,0.0
Hulchul,mahesh,8,16.0,34,0.47058823529411764
Hulchul,peter,13,963.0,165,5.836363636363636
Hulchul,man,2,102.5,30,3.4166666666666665
Hulchul,kumar,3,11.0,31,0.3548387096774194
Shatru,choudhry,1,360.1666666666667,22,16.37121212121212
Shatru,nishikant,4,4.0,24,0.16666666666666666
Shatru,shah,5,401.4166666666665,54,7.433641975308639
Shatru,inspector,1,30.0,5,6.0
Shatru,man,2,192.66666666666666,23,8.376811594202898
Shatru,ashok,21,761.5,195,3.905128205128205
Singhasan,the,22,2.0,169,0.011834319526627219
Singhasan,simha,7,101.83333333333334,57,1.7865497076023393
Singhasan,vardhana,7,824.6666666666666,99,8.32996632996633
Singhasan,chandana,5,71.0,27,2.6296296296296298
Singhasan,aditya,11,3.0,99,0.030303030303030304
Singhasan,vikrama,12,0.0,104,0.0
Swarag Se Sunder,son,3,1321.8333333333333,36,36.71759259259259
Swarag Se Sunder,ravi,25,776.1666666666666,215,3.610077519379845
Swarag Se Sunder,milavat,13,18.0,101,0.1782178217821782
Swarag Se Sunder,brother,3,19.0,29,0.6551724137931034
Swarag Se Sunder,vijay,13,691.3333333333334,166,4.164658634538153
Swarag Se Sunder,ram,8,601.6666666666666,103,5.841423948220064
Swati,prakash,0,146.5,45,3.2555555555555555
Swati,mohan,0,118.0,13,9.076923076923077
Swati,man,0,34.0,7,4.857142857142857
Swati,satya,0,34.0,60,0.5666666666666667
The Living Corpse,the,18,0.0,117,0.0
Johar Mehmood in Hong Kong,mahesh,4,0.0,106,0.0
Johar Mehmood in Hong Kong,man,2,318.0,28,11.357142857142858
Johar Mehmood in Hong Kong,pran,1,141.0,20,7.05
Johar Mehmood in Hong Kong,johar,2,79.0,31,2.5483870967741935
Kal Aaj Aur Kal,bahadur,4,0.0,27,0.0
Kal Aaj Aur Kal,diwan,1,0.0,10,0.0
Kal Aaj Aur Kal,rajesh,4,172.5,41,4.2073170731707314
Kal Aaj Aur Kal,ram,7,125.0,50,2.5
Kangan,sunil,0,17.0,31,0.5483870967741935
Kathputli,vishal,7,1223.1666666666665,67,18.256218905472636
Kati Patang,kamal,11,256.6666666666667,121,2.1212121212121215
Kati Patang,kailash,5,52.0,33,1.5757575757575757
Kati Patang,dinanath,8,44.0,63,0.6984126984126984
Lal Patthar,raja,4,0.0,59,0.0
Lal Patthar,man,3,207.83333333333334,23,9.03623188405797
Lal Patthar,kumar,2,0.0,39,0.0
Main Sunder Hoon,amar,28,1550.945238095238,168,9.231816893424035
Main Sunder Hoon,actor,1,6.0,4,1.5
Main Sunder Hoon,sunder,19,224.5,175,1.282857142857143
Main Sunder Hoon,heartbroken,3,0.0,28,0.0
Main Sunder Hoon,father,2,117.0,13,9.0
Main Sunder Hoon,man,2,165.0,32,5.15625
Aan Baan,suraj,0,158.33333333333334,62,2.553763440860215
Aan Baan,raja,0,0.0,77,0.0
Aan Baan,bahadur,0,97.66666666666667,84,1.1626984126984128
Aan Baan,brother,0,112.0,25,4.48
Aan Baan,hiralal,0,35.0,29,1.206896551724138
Aankhon Aankhon Mein,son,2,121.0,27,4.481481481481482
Aankhon Aankhon Mein,kulwant,7,26.0,57,0.45614035087719296
Aankhon Aankhon Mein,rai,2,62.0,26,2.3846153846153846
Aankhon Aankhon Mein,rakesh,10,195.0,80,2.4375
Amar Prem,anand,24,2808.0,241,11.651452282157676
Amar Prem,son,6,855.7238095238097,117,7.313878713878715
Amar Prem,father,5,440.1761904761904,116,3.7946223316912966
Amar Prem,nandu,42,4585.52619047619,368,12.460668995859212
Amar Prem,man,1,102.0,17,6.0
Amar Prem,brother,2,296.6666666666667,25,11.866666666666667
Mehboob Ki Mehndi,yusuf,7,236.33333333333334,65,3.635897435897436
Mehboob Ki Mehndi,nephew,2,25.333333333333332,11,2.3030303030303028
Mehboob Ki Mehndi,khairuddin,2,0.0,19,0.0
Annadata,prasad,0,642.5,104,6.177884615384615
Annadata,amba,0,299.83333333333337,179,1.6750465549348232
Annadata,man,0,626.5,35,17.9
Annadata,brother,0,171.86666666666665,33,5.208080808080807
Anokha Milan,brother,3,152.0,32,4.75
Mera Gaon Mera Desh,havaldar,5,0.0,51,0.0
Mera Gaon Mera Desh,ajit,11,524.9166666666667,110,4.771969696969697
Mera Gaon Mera Desh,jaswant,7,18.0,51,0.35294117647058826
Mera Gaon Mera Desh,jabbar,6,837.2,63,13.28888888888889
Anuraag,father,0,6.5,6,1.0833333333333333
Anuraag,boy,0,187.0,29,6.448275862068965
Anuraag,rajesh,0,2.0,27,0.07407407407407407
Apna Desh,man,1,102.0,17,6.0
Apna Desh,brother,3,173.0,31,5.580645161290323
Apradh,brother,2,666.75,36,18.520833333333332
Apradh,ram,10,151.25,109,1.3876146788990826
Bawarchi,raghu,5,72.0,52,1.3846153846153846
Bawarchi,man,1,68.0,15,4.533333333333333
Parwana,kumar,9,83.0,90,0.9222222222222223
Parwana,rajesh,6,205.66666666666666,44,4.674242424242424
Be-Imaan,mohan,0,0.0,73,0.0
Be-Imaan,father,0,31.5,16,1.96875
Patanga,amar,19,177.0,157,1.127388535031847
Patanga,chandan,5,0.0,54,0.0
Patanga,shyam,24,648.5833333333334,206,3.1484627831715213
Patanga,singh,19,1668.5666666666666,176,9.480492424242424
Patanga,kuldeep,8,413.5,62,6.669354838709677
Patanga,brother,3,437.8333333333334,44,9.950757575757578
Bhai Ho To Aisa,thakur,6,493.5,60,8.225
Bhai Ho To Aisa,son,3,391.33333333333337,49,7.98639455782313
Bhai Ho To Aisa,bharat,11,562.1666666666666,80,7.027083333333333
Bhai Ho To Aisa,man,1,6.0,7,0.8571428571428571
Bhai Ho To Aisa,ram,4,176.0,39,4.512820512820513
Dastaan,the,0,0.0,145,0.0
Dastaan,rajen,0,18.0,22,0.8181818181818182
Dastaan,sunil,0,96.0,37,2.5945945945945947
