Movie Name, Cast Name, Total Centrality, Average Centrality
Gaon Hamara Shaher Tumhara,daughter,8.5,2.125
Gomti Ke Kinare,roshni,154.0,11.0
Uphaar,mother,67.95555555555555,1.3868480725623582
Uphaar,minoo,183.0,1.095808383233533
Uphaar,anoop,2671.500000000001,7.903846153846157
Uphaar,daughter,41.5,5.1875
Uphaar,sister,124.0,4.96
Grahan,woman,7.5,0.9375
Grahan,sunita,151.0,2.9038461538461537
Grahan,acharya,119.0,6.611111111111111
Grahan,parvati,112.0,1.2727272727272727
Jawani Diwani,madhu,0.0,0.0
Jawani Diwani,girl,66.0,6.0
Joroo Ka Ghulam,kalpana,1691.5,4.8746397694524495
Koshish,girl,52.83333333333333,8.805555555555555
Lalkaar,usha,89.0,3.869565217391304
Mere Jeevan Saathi,princess,0.0,0.0
Mere Jeevan Saathi,jyoti,459.8333333333333,1.4929653679653678
Mere Jeevan Saathi,kamini,272.5,4.780701754385965
Mere Jeevan Saathi,daughter,43.5,5.4375
Pakeezah,a,7177.316666666667,33.22831790123457
Pakeezah,nawabjaan,141.5,3.215909090909091
Pakeezah,nargis,0.0,0.0
Pakeezah,sahibjaan,706.4166666666666,7.435964912280701
Piya Ka Ghar,malti,122.0,1.1192660550458715
Raja Jani,rajmata,117.0,1.8571428571428572
Rakhi Aur Hathkadi,girl,123.5,6.175
Rakhi Aur Hathkadi,mother,21.333333333333332,1.641025641025641
Rivaaj,mother,2958.666666666667,20.404597701149427
Rivaaj,woman,585.5,12.457446808510639
Rivaaj,meera,1.3333333333333333,0.020512820512820513
Rivaaj,sinha,706.0,8.825
Rivaaj,lakshmi,785.8333333333333,5.736009732360097
Rivaaj,mala,0.0,0.0
Rivaaj,daughter,43.0,1.1025641025641026
Rivaaj,sister,60.0,2.857142857142857
Roop Tera Mastana,kiran,738.8333333333333,9.721491228070175
Aarop,aruna,182.5,1.3931297709923665
Aarop,daughter,33.0,4.714285714285714
Abhimaan,uma,120.0,2.926829268292683
Abhimaan,girl,84.0,10.5
Anamika,mother,24.0,3.4285714285714284
Anamika,mrs.,0.0,0.0
Anamika,woman,79.33333333333333,4.175438596491228
Anamika,rubai,20.0,0.8
Anamika,anamika,226.0,1.808
Seeta Aur Geeta,mother,29.0,2.6363636363636362
Seeta Aur Geeta,seeta,364.0,1.7843137254901962
Seeta Aur Geeta,girl,65.99999999999999,2.538461538461538
Seeta Aur Geeta,geeta,163.0,1.304
Anhonee,rekha,3.0,0.03614457831325301
Shaadi Ke Baad,shobha,223.63333333333335,7.213978494623657
Shaadi Ke Baad,girl,89.0,7.416666666666667
Anokhi Ada,neeta,0.0,0.0
Anokhi Ada,gupta,204.0,3.044776119402985
Avishkaar,rita,0.0,0.0
Bada Kabutar,mother,134.5,1.7467532467532467
Banarasi Babu,woman,102.0,6.8
Banarasi Babu,neela,270.5,4.745614035087719
Bandhe Haath,woman,199.83333333333331,8.68840579710145
Bandhe Haath,mala,2.5,0.03731343283582089
Black Mail,mehta,59.0,1.84375
Black Mail,asha,460.1666666666666,5.350775193798449
Victoria No. 203,seth,0.0,0.0
Victoria No. 203,durgadas,70.0,2.5
Bobby,braganza,26.0,2.0
Bobby,girl,158.0,7.9
Bobby,daughter,219.0,6.636363636363637
Yeh Gulistan Hamara,soo,0.0,0.0
Yeh Gulistan Hamara,reni,214.0,4.976744186046512
Yeh Gulistan Hamara,girl,12.0,4.0
Chhalia,shanti,37.0,0.3592233009708738
Zaroorat,anju,22.0,0.5789473684210527
Zaroorat,girl,79.5,5.3
Chhupa Rustam,rajendra,45.0,0.6
Chhupa Rustam,ritu,167.0,2.830508474576271
Daag: A Poem of Love,sonia,853.0,27.516129032258064
Daag: A Poem of Love,woman,31.0,5.166666666666667
Dharma,radha,1736.1,16.69326923076923
Dharma,parvati,221.83333333333334,5.158914728682171
Dharma,singh,1688.0666666666662,8.234471544715445
Dharma,daughter,38.56666666666667,3.213888888888889
Dhund,woman,101.0,4.04
Dhund,ranjit,198.0,0.7096774193548387
Dhund,rani,976.0,4.135593220338983
Do Phool,mother,12.0,3.0
Do Phool,shaila,437.6666666666667,20.841269841269842
Do Phool,apte,51.0,3.923076923076923
Hum Aapke Hain Koun..!,mother,54.0,5.4
Hum Aapke Hain Koun..!,mrs.,0.0,0.0
Hum Aapke Hain Koun..!,pooja,63.5,0.8466666666666667
Hum Aapke Hain Koun..!,nisha,1002.1666666666666,5.965277777777778
Hum Aapke Hain Koun..!,sister,15.0,2.142857142857143
Hum Aapke Hain Koun..!,rajesh,87.83333333333334,1.6891025641025643
Mohra,roma,146.33333333333331,2.6130952380952377
Mohra,singh,82.0,3.5652173913043477
Krantiveer,megha,57.0,1.6285714285714286
Krantiveer,mamta,22.0,0.9565217391304348
Raja Babu,madhu,497.3333333333333,7.104761904761904
Main Khiladi Tu Anari,deepak,1016.4499999999999,5.159644670050761
Main Khiladi Tu Anari,mona,937.6666666666666,11.576131687242798
Main Khiladi Tu Anari,basanti,141.0,1.184873949579832
Garam Hawa,mother,1155.0333333333344,10.312797619047629
Garam Hawa,amina,602.3333333333334,3.273550724637681
Aatish: Feel the Fire,mother,204.0,5.828571428571428
Gehri Chaal,hema,755.6666666666666,9.329218106995885
Gehri Chaal,daughter,26.666666666666668,2.666666666666667
Suhaag,madhu,13.0,1.8571428571428572
Suhaag,mother,118.66666666666667,3.9555555555555557
Suhaag,asha,11.0,2.2
Suhaag,pooja,0.0,0.0
Dilwale,sapna,561.4666666666667,2.2458666666666667
Dilwale,jyoti,0.0,0.0
1942: A Love Story,pathak,398.5,5.108974358974359
Hanste Zakhm,mother,59.66666666666666,2.841269841269841
Hanste Zakhm,police,0.0,0.0
Hanste Zakhm,rekha,362.5,2.4328859060402683
Hanste Zakhm,chanda,102.16666666666666,1.0532646048109964
Hanste Zakhm,girl,18.333333333333332,2.0370370370370368
Hanste Zakhm,daughter,164.0,3.0943396226415096
Aa Gale Lag Jaa,girl,51.5,4.291666666666667
Aa Gale Lag Jaa,urmila,556.3333333333334,7.947619047619048
Heera Panna,reema,34.0,1.3076923076923077
Heera Panna,panna,16.0,0.6956521739130435
Heera Panna,sister,12.0,1.7142857142857142
Aag,laxmi,873.0,9.48913043478261
Aag,barkha,0.0,0.0
Aag,sister,38.0,5.428571428571429
Hindustan Ki Kasam,mohini,245.0,2.8823529411764706
Aao Pyaar Karen,woman,132.83333333333334,3.5900900900900905
Aao Pyaar Karen,raja,496.1666666666667,4.35233918128655
Aao Pyaar Karen,anjali,13.0,0.5
Aao Pyaar Karen,sonu,0.0,0.0
Aao Pyaar Karen,rai,110.0,12.222222222222221
Aao Pyaar Karen,chhaya,262.6666666666667,5.588652482269504
Honeymoon,madhu,26.0,0.4482758620689655
Andaz,girl,9.0,2.25
Andaz,saraswati,8.0,0.18604651162790697
Andaz,jaya,154.0,2.081081081081081
Andaz Apna Apna,raveena,677.0,8.358024691358025
Andaz Apna Apna,karishma,55.5,2.3125
Andaz Apna Apna,girl,0.0,0.0
Anjaam,mother,11.833333333333332,0.986111111111111
Anjaam,shivani,1733.9166666666665,3.5386054421768702
Anjaam,sister,156.33333333333331,8.685185185185183
Joshila,shalini,0.0,0.0
Joshila,daughter,36.0,4.5
Bandit Queen,phoolan,916.0999999999999,2.0045951859956235
Chaand Kaa Tukdaa,girl,573.0000000000001,12.456521739130437
Kahani Kismat Ki,mother,253.5,19.5
Kahani Kismat Ki,woman,39.99999999999999,1.290322580645161
Chauraha,sister,18.0,2.5714285714285716
Keemat,mohan,51.0,2.3181818181818183
Keemat,ajay,0.0,0.0
Kachche Dhaage,dhananjay,286.0,3.4457831325301207
Droh Kaal,sumitra,60.5,1.2604166666666667
Dulaara,priya,465.0,6.038961038961039
Dulaara,chauhan,739.1666666666666,4.479797979797979
Dulaara,girl,0.0,0.0
Dulaara,sister,157.0,8.722222222222221
Loafer,anju,66.0,1.434782608695652
Ekka Raja Rani,barkha,144.5,1.80625
Ekka Raja Rani,vicky,74.0,1.9473684210526316
Manchali,girl,155.83333333333334,7.791666666666667
Ghar Ki Izzat,radhika,55.0,1.7741935483870968
Ghar Ki Izzat,sister,144.0,4.9655172413793105
Mera Desh Mera Dharam,woman,0.0,0.0
Hum Hain Bemisaal,maria,116.0,3.3142857142857145
