movieTitle_year,singer_name,gender,song_count
Amrit (film)_1986,Kishore Kumar,MALE,1
Dastak_1970,Charukesi,UNKNOWN,1
Dastak_1970,Lata Mangeshkar,FEMALE,1
Devi (1970 film)_1970,Devi (1970 film),UNKNOWN,7
Devi (1970 film)_1970,List of songs recorded by Kishore Kumar,MALE,1
Devi (1970 film)_1970,List of songs recorded by Anuradha Paudwal,FEMALE,1
Devi (1970 film)_1970,List of songs recorded by Mohammed Rafi (T),UNKNOWN,1
Angaaray (1986 film)_1986,Kavita Krishnamurthy,FEMALE,1
Angaaray (1986 film)_1986,Suresh Wadkar,MALE,1
Angaaray (1986 film)_1986,Mohammad Aziz,UNKNOWN,1
Angaaray (1986 film)_1986,Anuradha Paudwal,FEMALE,1
Angaaray (1986 film)_1986,Asha Bhosle,FEMALE,2
Angaaray (1986 film)_1986,Kishore Kumar,MALE,1
Dharti_1970,Mohammed Rafi,MALE,4
Dharti_1970,Lata Mangeshkar,FEMALE,4
Dharti_1970,Asha Bhosle,FEMALE,1
Ankush_1986,Sushma Shrestha,FEMALE,2
Ankush_1986,Numbers in Action,UNKNOWN,1
Ankush_1986,Khoon Ka Badla Khoon,UNKNOWN,1
Anokha Rishta_1986,Asha Bhosle,FEMALE,3
Anokha Rishta_1986,Amit Kumar,FEMALE,1
Ek Nanhi Munni Ladki Thi_1970,Manna Dey,MALE,1
Ek Nanhi Munni Ladki Thi_1970,Mohammed Rafi,MALE,3
Ek Nanhi Munni Ladki Thi_1970,Asha Bhosle,FEMALE,2
Anubhav (1986 film)_1986,S.P. Balasubrahmanyam,MALE,1
Anubhav (1986 film)_1986,Humko Tumse Pyaar Hai,UNKNOWN,1
Anubhav (1986 film)_1986,Asha Bhonsle,FEMALE,1
Anubhav (1986 film)_1986,Lata Mangeshkar,FEMALE,1
Anubhav (1986 film)_1986,Rajesh Roshan,MALE,1
Asli Naqli_1986,Anuradha Paudwal,FEMALE,1
Asli Naqli_1986,Shabbir Kumar,UNKNOWN,1
Asli Naqli_1986,LaxmikantPyarelal,UNKNOWN,2
Asli Naqli_1986,Kavita Krishnamurthy,FEMALE,3
Asli Naqli_1986,Anup Jalota,UNKNOWN,1
Ganwaar_1970,Ganwaar,UNKNOWN,6
Ganwaar_1970,List of songs recorded by Alka Yagnik,FEMALE,1
Ganwaar_1970,Anwar (singer),UNKNOWN,1
Avinash (1986 film)_1986,Bappi Lahiri,MALE,2
Avinash (1986 film)_1986,Asha Bhosle,FEMALE,1
Avinash (1986 film)_1986,Usha Uthup,FEMALE,1
Avinash (1986 film)_1986,Kishore Kumar,MALE,1
Avinash (1986 film)_1986,Anupama Deshpande,FEMALE,1
Geet (1970 film)_1970,Suman Kalyanpur,FEMALE,1
Geet (1970 film)_1970,Mahendra Kapoor,MALE,2
Geet (1970 film)_1970,Asha Bhosle,FEMALE,2
Geet (1970 film)_1970,Mohammed Rafi,MALE,2
Geet (1970 film)_1970,Lata Mangeshkar,FEMALE,3
Baat Ban Jaye_1986,Manhar Udhas,UNKNOWN,1
Baat Ban Jaye_1986,Asha Bhosle,FEMALE,1
Baat Ban Jaye_1986,Kishore Kumar,MALE,2
Baat Ban Jaye_1986,Sadhana Sargam,FEMALE,1
Baat Ban Jaye_1986,Alka Yagnik,FEMALE,1
Ghar Ghar Ki Kahani_1970,Hemlata,FEMALE,1
Ghar Ghar Ki Kahani_1970,Lata Mangeshkar,FEMALE,2
Ghar Ghar Ki Kahani_1970,Kishore Kumar,MALE,2
Ghar Ghar Ki Kahani_1970,Mukesh,MALE,1
Ghar Ghar Ki Kahani_1970,Asha Bhosle,FEMALE,1
Ghar Ghar Ki Kahani_1970,Nitin Mukesh,MALE,1
Bhagwaan Dada_1986,Mohammed Aziz,UNKNOWN,1
Bhagwaan Dada_1986,Asha Bhosle,FEMALE,3
Bhagwaan Dada_1986,Kishore Kumar,MALE,2
Bhagwaan Dada_1986,Anuradha Paudwal,FEMALE,1
Chameli Ki Shaadi_1986,Kishore Kumar,MALE,1
Chameli Ki Shaadi_1986,Alka Yagnik,FEMALE,1
Chameli Ki Shaadi_1986,Anwar (singer),UNKNOWN,1
Chameli Ki Shaadi_1986,Anil Kapoor,MALE,1
Chameli Ki Shaadi_1986,Asha Bhosle,FEMALE,2
Gopi (1970 film)_1970,Lata Mangeshkar,FEMALE,2
Gopi (1970 film)_1970,Mahendra Kapoor,MALE,3
Gopi (1970 film)_1970,Mohammed Rafi,MALE,1
Dahleez_1986,Mahendra Kapoor,MALE,5
Dahleez_1986,Asha Bhosle,FEMALE,3
Dahleez_1986,Bhupinder Singh (musician),UNKNOWN,1
Gunah Aur Kanoon_1970,Asha Bhosle,FEMALE,6
Dharm Adhikari_1986,Kishore Kumar,MALE,2
Dharm Adhikari_1986,S Janaki,FEMALE,1
Dharm Adhikari_1986,Asha Bhosle,FEMALE,3
Dharm Adhikari_1986,Shabbir Kumar,UNKNOWN,1
Dharm Adhikari_1986,Mohammed Aziz,UNKNOWN,1
Dharm Adhikari_1986,Mahendra Kapoor,MALE,1
Dharm Adhikari_1986,S. Janaki,FEMALE,1
Dilwaala_1986,Kishore Kumar,MALE,5
Dilwaala_1986,S. Janaki,FEMALE,3
Dilwaala_1986,Nazia Hassan,FEMALE,2
Dilwaala_1986,Zohaib Hassan,UNKNOWN,1
Dilwaala_1986,Bappi Lahiri,MALE,1
Dilwaala_1986,Asha Bhosle,FEMALE,2
Heer Raanjha_1970,Lata Mangeshkar,FEMALE,4
Heer Raanjha_1970,Shamshad Begum,FEMALE,1
Heer Raanjha_1970,Jagjit Kaur,FEMALE,1
Heer Raanjha_1970,Mohammed Rafi,MALE,3
Dosti Dushmani_1986,Mohammed Aziz,UNKNOWN,4
Dosti Dushmani_1986,Kavita Krishnamurthy,FEMALE,3
Dosti Dushmani_1986,Shailender Singh,MALE,1
Dosti Dushmani_1986,S. P. Balasubrahmanyam,MALE,1
Dosti Dushmani_1986,S. Janaki,FEMALE,1
Dosti Dushmani_1986,Suresh Wadkar,MALE,1
Dosti Dushmani_1986,Shailendra Singh (singer),MALE,1
Himmat (1970 film)_1970,Mohammed Rafi,MALE,5
Himmat (1970 film)_1970,Asha Bhosle,FEMALE,3
Himmat (1970 film)_1970,Lata Mangeshkar,FEMALE,2
Ek Aur Sikander_1986,Alka Yagnik,FEMALE,2
Ek Aur Sikander_1986,Manna Dey,MALE,1
Ek Aur Sikander_1986,Kishore Kumar,MALE,3
Ek Aur Sikander_1986,Lata Mangeshkar,FEMALE,2
Ek Aur Sikander_1986,Anuradha Paudwal,FEMALE,1
Ek Aur Sikander_1986,Mohammed Aziz,UNKNOWN,1
Holi Ayee Re_1970,Mahendra Kapoor,MALE,2
Holi Ayee Re_1970,Lata Mangeshkar,FEMALE,2
Holi Ayee Re_1970,Usha Khanna,FEMALE,1
Holi Ayee Re_1970,Hansa Jivraj Mehta,FEMALE,1
Holi Ayee Re_1970,Kishore Kumar,MALE,1
Holi Ayee Re_1970,Mukesh (singer),MALE,1
Holi Ayee Re_1970,Mukesh,MALE,1
Ek Chadar Maili Si_1986,Pandit Aur Pathan,UNKNOWN,1
Ek Chadar Maili Si_1986,Shabbir Kumar,UNKNOWN,2
Ek Chadar Maili Si_1986,Asha Bhosle,FEMALE,3
Ek Chadar Maili Si_1986,Ek Chadar Maili Si,UNKNOWN,1
Humjoli_1970,Mohammed Rafi,MALE,4
Humjoli_1970,Lata Mangeshkar,FEMALE,2
Humjoli_1970,Asha Bhosle,FEMALE,2
Humjoli_1970,Kishore Kumar,MALE,2
Humjoli_1970,Kamal Barot,FEMALE,1
Humjoli_1970,Mukesh (singer),MALE,1
Humjoli_1970,Mahmood,UNKNOWN,1
Insaan Aur Shaitan_1970,Mohammed Rafi,MALE,1
Insaan Aur Shaitan_1970,Asha Bhosle,FEMALE,3
Ghar Sansar_1986,Kishore Kumar,MALE,2
Ghar Sansar_1986,Asha Bhosle,FEMALE,1
Ghar Sansar_1986,Alka Yagnik,FEMALE,1
Ghar Sansar_1986,Sadhana Sargam,FEMALE,1
Ghar Sansar_1986,Mohammed Aziz,UNKNOWN,2
Ghar Sansar_1986,Anuradha Paudwal,FEMALE,1
Inspector (1970 film)_1970,Asha Bhosle,FEMALE,4
Inspector (1970 film)_1970,Mohammed Rafi,MALE,1
Inspector (1970 film)_1970,Mahendra Kapoor,MALE,1
Haathon Ki Lakeeren_1986,Numbers in Action,UNKNOWN,1
Haathon Ki Lakeeren_1986,Teesra Kaun,UNKNOWN,4
Haathon Ki Lakeeren_1986,Alka Yagnik,FEMALE,1
Haathon Ki Lakeeren_1986,Jatin Lalit,UNKNOWN,1
Haathon Ki Lakeeren_1986,Mahendra Kapoor,MALE,1
Ishq Par Zor Nahin_1970,Lata Mangeshkar,FEMALE,5
Ishq Par Zor Nahin_1970,Mohammed Rafi,MALE,2
Ishq Par Zor Nahin_1970,Asha Bhosle,FEMALE,1
Ishq Par Zor Nahin_1970,Manna Dey,MALE,1
Ilzaam_1986,Amit Kumar,FEMALE,3
Ilzaam_1986,Asha Bhosle,FEMALE,3
Ilzaam_1986,Nazia Hassan,FEMALE,1
Ilzaam_1986,Zoheb Hassan,UNKNOWN,1
Ilzaam_1986,Shabbir Kumar,UNKNOWN,1
Ilzaam_1986,S. Janaki,FEMALE,1
Jawab (1970 film)_1970,Mohd. Rafi,MALE,3
Jawab (1970 film)_1970,Asha Bhosle,FEMALE,3
Jawab (1970 film)_1970,Hemlata,FEMALE,1
Jawab (1970 film)_1970,Usha Mangeshkar,FEMALE,1
Jawab (1970 film)_1970,Lata Mangeshkar,FEMALE,2
Jawab (1970 film)_1970,Kishore Kumar,MALE,1
Insaaf Ki Awaaz_1986,S. Janaki,FEMALE,2
Insaaf Ki Awaaz_1986,Bappi Lahiri,MALE,1
Insaaf Ki Awaaz_1986,Kishore Kumar,MALE,2
Insaaf Ki Awaaz_1986,Mohammed Aziz,UNKNOWN,1
Insaaf Ki Awaaz_1986,Lata Mangeshkar,FEMALE,1
Insaaf Ki Awaaz_1986,Azhagan,UNKNOWN,1
Jaal (1986 film)_1986,Asha Bhosle,FEMALE,2
Jaal (1986 film)_1986,Mohammed Aziz,UNKNOWN,2
Jaal (1986 film)_1986,Shabbir Kumar,UNKNOWN,1
Jaal (1986 film)_1986,Kishore Kumar,MALE,1
Jaal (1986 film)_1986,Ila Arun,UNKNOWN,1
Jeevan Mrityu_1970,Mohammed Rafi,MALE,1
Jeevan Mrityu_1970,Lata Mangeshkar,FEMALE,3
Janbaaz_1986,Raju,UNKNOWN,1
Janbaaz_1986,Numbers in Action,UNKNOWN,4
Janbaaz_1986,Haribhai Parthibhai Chaudhary,MALE,3
Janbaaz_1986,Miriam Stockley,FEMALE,1
